aircraft carrier	porte-avions
airplane	avion
alarm clock	réveil
ambulance	ambulance
angel	ange
animal migration	migration des animaux
ant	fourmi
anvil	enclume
apple	Pomme
arm	bras
asparagus	asperges
axe	hache
backpack	sac à dos
banana	banane
bandage	bandage
barn	Grange
baseball bat	batte de baseball
baseball	base-ball
basket	corbeille
basketball	basket
bat	chauve souris
bathtub	baignoire
beach	plage
bear	ours
beard	barbe
bed	lit
bee	abeille
belt	ceinture
bench	banc
bicycle	vélo
binoculars	jumelles
bird	oiseau
birthday cake	gâteau d'anniversaire
blackberry	mûre
blueberry	myrtille
book	livre
boomerang	boomerang
bottlecap	bouchon de la bouteille
bowtie	nœud papillon
bracelet	bracelet
brain	cerveau
bread	pain
bridge	pont
broccoli	brocoli
broom	balais
bucket	seau
bulldozer	bulldozer
bus	bus
bush	buisson
butterfly	papillon
cactus	cactus
cake	gâteau
calculator	calculatrice
calendar	calendrier
camel	chameau
camera	caméra
camouflage	camouflage
campfire	feu de camp
candle	bougie
cannon	canon
canoe	canoë
car	auto
carrot	carotte
castle	Château
cat	chat
ceiling fan	ventilateur de plafond
cell phone	téléphone portable
cello	violoncelle
chair	chaise
chandelier	lustre
church	église
circle	cercle
clarinet	clarinette
clock	l'horloge
cloud	nuage
coffee cup	tasse à café
compass	boussole
computer	l'ordinateur
cookie	biscuit
cooler	glacière
couch	canapé
cow	vache
crab	crabe
crayon	crayon
crocodile	crocodile
crown	couronne
cruise ship	bateau de croisière
cup	Coupe
diamond	diamant
dishwasher	Lave-vaisselle
diving board	plongeoir
dog	chien
dolphin	dauphin
donut	Donut
door	porte
dragon	dragon
dresser	commode
drill	perceuse
drums	tambours
duck	canard
dumbbell	haltère
ear	oreille
elbow	coude
elephant	éléphant
envelope	enveloppe
eraser	gomme
eye	œil
eyeglasses	lunettes
face	Visage
fan	ventilateur
feather	plume
fence	clôture
finger	doigt
fire hydrant	bouche d'incendie
fireplace	cheminée
firetruck	camion de pompier
fish	poisson
flamingo	flamant
flashlight	lampe de poche
flip flops	tongs
floor lamp	lampadaire
flower	fleur
flying saucer	soucoupe volante
foot	le pied
fork	fourchette
frog	grenouille
frying pan	poêle à frire
garden hose	tuyau d'arrosage
garden	jardin
giraffe	girafe
goatee	barbiche
golf club	club de golf
grapes	les raisins
grass	herbe
guitar	guitare
hamburger	Hamburger
hammer	marteau
hand	main
harp	harpe
hat	chapeau
headphones	écouteurs
hedgehog	hérisson
helicopter	hélicoptère
helmet	casque
hexagon	hexagone
hockey puck	rondelle de hockey
hockey stick	crosse de hockey
horse	cheval
hospital	hôpital
hot air balloon	montgolfière
hot dog	Hot-dog
hot tub	jacuzzi
hourglass	Sablier
house plant	plante d'appartement
house	maison
hurricane	ouragan
ice cream	crème glacée
jacket	veste
jail	prison
kangaroo	kangourou
key	clé
keyboard	clavier
knee	genou
knife	couteau
ladder	échelle
lantern	lanterne
laptop	portable
leaf	feuille
leg	jambe
light bulb	ampoule
lighter	plus léger
lighthouse	phare
lightning	éclair
line	ligne
lion	lion
lipstick	rouge à lèvres
lobster	Homard
lollipop	sucette
mailbox	boites aux lettres
map	carte
marker	marqueur
matches	allumettes
megaphone	mégaphone
mermaid	Sirène
microphone	microphone
microwave	four micro-onde
monkey	singe
moon	lune
mosquito	moustique
motorbike	moto
mountain	Montagne
mouse	Souris
moustache	moustache
mouth	bouche
mug	tasse
mushroom	champignon
nail	clou
necklace	Collier
nose	nez
ocean	océan
octagon	octogone
octopus	poulpe
onion	oignon
oven	four
owl	chouette
paint can	pot de peinture
paintbrush	pinceau
palm tree	palmier
panda	Panda
pants	pantalon
paper clip	trombone
parachute	parachute
parrot	perroquet
passport	passeport
peanut	cacahuète
pear	poire
